HCPCS_Cd,RBCS_Id,RBCS_Cat,RBCS_Cat_Desc,RBCS_Cat_Subcat,RBCS_Subcat_Desc,RBCS_FamNumb,RBCS_Family_Desc,RBCS_Major_Ind,HCPCS_Cd_Add_Dt,HCPCS_Cd_End_Dt,RBCS_Latest_Assignment,First_RBCS_Release_Year,RBCS_Analysis_Start_Dt,RBCS_Analysis_End_Dt,Alt_Assignment_Method ,RBCS_Id_Ever_Reassigned
000100,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000102,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000103,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1994,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000104,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000120,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000124,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000126,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000140,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000142,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000144,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000145,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000147,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1991,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000148,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000160,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000162,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000164,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000170,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000172,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000174,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000176,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000190,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000192,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000210,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000211,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/2009,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000212,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000214,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000215,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1994,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000216,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000218,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000220,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000222,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000300,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000320,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000322,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000326,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/2003,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000350,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000352,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000400,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000402,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000404,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000406,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000410,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000450,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000452,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/2014,1,2020,01/01/2014,12/31/2014,0,0
000454,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000470,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000472,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000474,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000500,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000520,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000522,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000524,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000528,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000529,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/2004,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000530,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000532,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1992,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000534,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1993,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000537,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000539,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/2003,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000540,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000541,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/2003,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000542,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000546,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000548,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000550,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000560,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000561,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/2005,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000562,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000563,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000566,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000567,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/2009,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000580,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000600,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000604,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000620,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000622,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/2014,1,2020,01/01/2014,12/31/2014,0,0
000625,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/2007,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000626,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/2007,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000630,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000632,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000634,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/2014,1,2020,01/01/2014,12/31/2014,0,0
000635,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000640,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/2003,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000670,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000700,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000702,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000730,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000731,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/2018,12/31/9999,1,2020,01/01/2018,12/31/9999,0,0
000732,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/2018,12/31/9999,1,2020,01/01/2018,12/31/9999,0,0
000740,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/2017,1,2020,01/01/2014,12/31/2017,0,0
000750,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000752,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000754,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000756,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000770,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000790,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000792,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000794,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000796,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000797,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/2002,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000800,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000802,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
000810,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/1989,12/31/2017,1,2020,01/01/2014,12/31/2017,0,0
000811,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/2018,12/31/9999,1,2020,01/01/2018,12/31/9999,0,0
000812,AA000N,A,Anesthesia,AA,Anesthesia,0,No RBCS Family,N,01/01/2018,12/31/9999,1,2020,01/01/2018,12/31/9999,0,0
