"discharge_year","ppc_version","hospital_name","pfi","ppc_group_number","ppc_group_name","observed_rate_per_10_000_at_risk_discharges","risk_adjusted_rate_per_10_000_at_risk_discharges","significance"
"2023","40.0","Adirondack Medical Center-Saranac Lake Site","324","1","Extreme Complications","67.3778775968557","101.4072233487337","Similar"
"2023","40.0","Adirondack Medical Center-Saranac Lake Site","324","2","Cardiovascular-Respiratory Complications","185.3932584269663","216.69741988806993","Above"
"2023","40.0","Adirondack Medical Center-Saranac Lake Site","324","3","Gastrointestinal Complications","60.37321624588365","77.43429472550334","Above"
"2023","40.0","Adirondack Medical Center-Saranac Lake Site","324","4","Perioperative Complications","86.52094717668488","68.03306507958735","Above"
"2023","40.0","Adirondack Medical Center-Saranac Lake Site","324","5","Infectious Complications","66.11570247933884","95.48154048103491","Similar"
"2023","40.0","Adirondack Medical Center-Saranac Lake Site","324","6","Malfunctions, Reactions, etc.","63.69426751592357","77.5837242854094","Above"
"2023","40.0","Adirondack Medical Center-Saranac Lake Site","324","7","Obstetrical Complications","52.63157894736842","85.47676033309358","Similar"
"2023","40.0","Adirondack Medical Center-Saranac Lake Site","324","8","Other Medical and Surgical Complications","150.78082929456113","177.43308659880267","Similar"
"2023","40.0","Albany Medical Center Hospital","1","1","Extreme Complications","138.21543481216295","86.78366447814152","Above"
"2023","40.0","Albany Medical Center Hospital","1","2","Cardiovascular-Respiratory Complications","198.484637196114","130.04971695853163","Similar"
"2023","40.0","Albany Medical Center Hospital","1","3","Gastrointestinal Complications","41.41823312548359","29.152886629653544","Similar"
"2023","40.0","Albany Medical Center Hospital","1","4","Perioperative Complications","54.073440560598115","37.21171222397046","Similar"
"2023","40.0","Albany Medical Center Hospital","1","5","Infectious Complications","112.35955056179775","85.70298570996735","Similar"
"2023","40.0","Albany Medical Center Hospital","1","6","Malfunctions, Reactions, etc.","39.214275435314434","31.533716317616886","Similar"
"2023","40.0","Albany Medical Center Hospital","1","7","Obstetrical Complications","124.53874538745387","98.49094004118871","Similar"
"2023","40.0","Albany Medical Center Hospital","1","8","Other Medical and Surgical Complications","271.6240430037465","202.3567257707923","Above"
