hcpcs_code,hcpcs_short_desc,hcpcs_is_device,product_code,device_category,match_method,confidence,maude_event_count,gudid_device_count,source_notes
A4314,Cath w/drainage 2-way latex,False,FAQ,foley_tray_2way_latex,manual_seed,high,0,0,Insertion tray w/ Foley 2-way latex
A4316,Cath w/drainage 3-way,False,FAQ,foley_tray_2way_silicone,manual_seed,high,0,0,Insertion tray w/ Foley 2-way silicone
A4338,Indwelling catheter latex,False,FAQ,urinary_catheter_foley,manual_seed,high,0,0,Indwelling Foley catheter
A4344,Cath indw foley 2 way silicn,False,FAQ,indwelling_silicone,manual_seed,medium,0,0,"Indwelling catheter, silicone"
A4411,Ost skn barr extnd =4sq,False,FRE,ostomy_skin_barrier,manual_seed,medium,0,0,"Ostomy skin barrier, paste"
A6196,Alginate dressing <=16 sq in,False,FRO,alginate_dressing,manual_seed,high,2,5,"Alginate dressing, wound"
B4088,"Gastro/jejuno tube, low-pro",False,KNT,gastrostomy_low_profile,manual_seed,medium,13,8,Low-profile G-tube
C1713,"Anchor/screw bn/bn,tis/bn",True,KZH,bone_anchor,manual_seed,high,2,0,"Bone anchor/screw → KZH anchor, bone"
C1721,"Aicd, dual chamber",True,LWS,icd_dual_chamber,manual_seed,high,108,2,AICD dual chamber → implantable defibrillator
C1722,"Aicd, single chamber",True,LWS,icd_single_chamber,manual_seed,high,108,2,AICD single chamber → implantable defibrillator
C1725,"Cath, translumin non-laser",True,DQY,atherectomy_catheter,manual_seed,high,26,10,Transluminal atherectomy directional
C1741,Anchor/screw bone absorb,True,KZH,bone_anchor_absorbable,manual_seed,high,2,0,Absorbable bone anchor → KZH
C1751,"Cath, inf, per/cent/midline",True,FRN,central_venous_catheter,manual_seed,high,176,0,PICC / CVC → long-term intravascular catheter
C1752,"Cath,hemodialysis,short-term",True,KOC,hemodialysis_catheter,manual_seed,high,0,0,"Hemodialysis catheter, long-term"
C1753,"Cath, intravas ultrasound",True,FRN,ivus_catheter,manual_seed,medium,176,0,Intravascular ultrasound catheter
C1755,"Catheter, intraspinal",True,DQX,catheter_guidewire,manual_seed,medium,12,8,Catheter guide wire
C1768,"Graft, vascular",True,DSY,,gudid_description,low,4,1,auto-matched via GUDID description (support=1)
C1769,Guide wire,True,DQX,,gudid_description,medium,12,8,auto-matched via GUDID description (support=3)
