facility_id,facility_name,city,state,zip_code,hospital_type,hospital_ownership,emergency_services,overall_rating
020001,PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,AK,99508,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3
020006,MAT-SU REGIONAL MEDICAL CENTER,PALMER,AK,99645,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3
020008,BARTLETT REGIONAL HOSPITAL,JUNEAU,AK,99801,Acute Care Hospitals,Government - Local,Yes,5
020012,FAIRBANKS MEMORIAL HOSPITAL,FAIRBANKS,AK,99701,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3
020017,ALASKA REGIONAL HOSPITAL,ANCHORAGE,AK,99508,Acute Care Hospitals,Proprietary,Yes,2
020018,YUKON KUSKOKWIM DELTA REG HOSPITAL,BETHEL,AK,99559,Acute Care Hospitals,Tribal,Yes,Not Available
020024,CENTRAL PENINSULA GENERAL HOSPITAL,SOLDOTNA,AK,99669,Acute Care Hospitals,Voluntary non-profit - Other,Yes,1
020026,ALASKA NATIVE MEDICAL CENTER,ANCHORAGE,AK,99508,Acute Care Hospitals,Government - Federal,Yes,3
02013F,673rd Medical Group (Joint Base Elmendorf-Richardson),JBER,AK,99506,Acute Care - Department of Defense,Department of Defense,Yes,Not Available
02014F,Bassett ACH (FT Wainwright),Fort Wainwright,AK,99703,Acute Care - Department of Defense,Department of Defense,Yes,Not Available
021301,PROVIDENCE VALDEZ MEDICAL CENTER,VALDEZ,AK,99686,Critical Access Hospitals,Government - Local,Yes,Not Available
021302,PROVIDENCE SEWARD HOSPITAL,SEWARD,AK,99664,Critical Access Hospitals,Government - Local,Yes,Not Available
021304,PETERSBURG MEDICAL CENTER,PETERSBURG,AK,99833,Critical Access Hospitals,Government - Local,Yes,Not Available
021305,SEARHC WRANGELL MEDICAL CENTER & LTC,WRANGELL,AK,99929,Critical Access Hospitals,Tribal,Yes,Not Available
021306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,KODIAK,AK,99615,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Not Available
