facility_id,facility_name,state,dataset_id,measure_id,measure_name,score,compared_to_national,denominator,start_date,end_date
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,ynj2-r877,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,3.2,No Different Than the National Rate,27,04/01/2021,03/31/2024
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,632h-zaca,EDAC_30_AMI,Hospital return days for heart attack patients,-15.6,Fewer Days Than Average per 100 Discharges,273,07/01/2021,06/30/2024
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,632h-zaca,EDAC_30_HF,Hospital return days for heart failure patients,-1.1,Average Days per 100 Discharges,652,07/01/2021,06/30/2024
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,632h-zaca,EDAC_30_PN,Hospital return days for pneumonia patients,17.4,More Days Than Average per 100 Discharges,507,07/01/2021,06/30/2024
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.133,No Different than National Benchmark,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.008,No Different than National Benchmark,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_1_DOPC,Central Line Associated Bloodstream Infection: Number of Device Days,9078,No Different than National Benchmark,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_1_ELIGCASES,Central Line Associated Bloodstream Infection (ICU + select Wards): Predicted Cases,9.568,No Different than National Benchmark,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_1_NUMERATOR,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,4,No Different than National Benchmark,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.418,No Different than National Benchmark,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.032,Better than the National Benchmark,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.341,Better than the National Benchmark,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_2_DOPC,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,16727,Better than the National Benchmark,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_2_ELIGCASES,Catheter Associated Urinary Tract Infections (ICU + select Wards): Predicted Cases,23.917,Better than the National Benchmark,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_2_NUMERATOR,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,3,Better than the National Benchmark,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.125,Better than the National Benchmark,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.049,Better than the National Benchmark,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.964,Better than the National Benchmark,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_3_DOPC,SSI - Colon Surgery: Number of Procedures,237,Better than the National Benchmark,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_3_ELIGCASES,SSI - Colon Surgery: Predicted Cases,6.858,Better than the National Benchmark,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_3_NUMERATOR,SSI - Colon Surgery: Observed Cases,2,Better than the National Benchmark,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_3_SIR,SSI - Colon Surgery,0.292,Better than the National Benchmark,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,Not Available,Not Available,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,Not Available,Not Available,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_4_DOPC,SSI - Abdominal Hysterectomy: Number of Procedures,99,Not Available,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_4_ELIGCASES,SSI - Abdominal Hysterectomy: Predicted Cases,0.936,Not Available,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_4_NUMERATOR,SSI - Abdominal Hysterectomy: Observed Cases,1,Not Available,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_4_SIR,SSI - Abdominal Hysterectomy,Not Available,Not Available,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.124,Better than the National Benchmark,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.940,Better than the National Benchmark,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_5_DOPC,MRSA Bacteremia: Patient Days,111718,Better than the National Benchmark,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_5_ELIGCASES,MRSA Bacteremia: Predicted Cases,10.267,Better than the National Benchmark,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_5_NUMERATOR,MRSA Bacteremia: Observed Cases,4,Better than the National Benchmark,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_5_SIR,MRSA Bacteremia,0.390,Better than the National Benchmark,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.268,Better than the National Benchmark,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.563,Better than the National Benchmark,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_6_DOPC,Clostridium Difficile (C.Diff): Patient Days,111718,Better than the National Benchmark,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_6_ELIGCASES,Clostridium Difficile (C.Diff): Predicted Cases,70.895,Better than the National Benchmark,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_6_NUMERATOR,Clostridium Difficile (C.Diff): Observed Cases,28,Better than the National Benchmark,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,77hc-ibv8,HAI_6_SIR,Clostridium Difficile (C.Diff),0.395,Better than the National Benchmark,,04/01/2024,03/31/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,ynj2-r877,MORT_30_AMI,Death rate for heart attack patients,11.4,No Different Than the National Rate,270,07/01/2021,06/30/2024
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,ynj2-r877,MORT_30_CABG,Death rate for CABG surgery patients,3,No Different Than the National Rate,144,07/01/2021,06/30/2024
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,ynj2-r877,MORT_30_COPD,Death rate for COPD patients,9.4,No Different Than the National Rate,112,07/01/2021,06/30/2024
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,ynj2-r877,MORT_30_HF,Death rate for heart failure patients,10.2,No Different Than the National Rate,583,07/01/2021,06/30/2024
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,ynj2-r877,MORT_30_PN,Death rate for pneumonia patients,18.4,No Different Than the National Rate,517,07/01/2021,06/30/2024
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,ynj2-r877,MORT_30_STK,Death rate for stroke patients,13.5,No Different Than the National Rate,395,07/01/2021,06/30/2024
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,ynj2-r877,PSI_03,Pressure ulcer rate,0.13,No Different Than the National Rate,6114,07/01/2022,06/30/2024
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,muwa-iene,PSI_03,Pressure ulcer rate,0.130263,,,07/01/2022,06/30/2024
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,ynj2-r877,PSI_04,Death rate among surgical inpatients with serious treatable complications,203.00,No Different Than the National Rate,118,07/01/2022,06/30/2024
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,muwa-iene,PSI_06,Iatrogenic pneumothorax rate,0.130879,,,07/01/2022,06/30/2024
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,ynj2-r877,PSI_06,Iatrogenic pneumothorax rate,0.13,No Different Than the National Rate,7558,07/01/2022,06/30/2024
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,muwa-iene,PSI_08,In-hospital fall-associated fracture rate,0.344633,,,07/01/2022,06/30/2024
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,ynj2-r877,PSI_08,In-hospital fall-associated fracture rate,0.34,No Different Than the National Rate,7649,07/01/2022,06/30/2024
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,ynj2-r877,PSI_09,Postoperative hemorrhage or hematoma rate,2.75,No Different Than the National Rate,1747,07/01/2022,06/30/2024
