report_number,event_type,date_of_event,date_received,manufacturer_name,facility_state,patient_outcomes,device_problems,product_code,brand_name,generic_name,hcpcs_code,hcpcs_desc,device_category,bridge_confidence
0001313525-2020-00077,Injury,2020-03-25,2020-04-28,BAUSCH + LOMB,,,HQL,HQL,SOFPORT SQUARE EDGE IOL,INTRAOCULAR LENS,V2630,Anter chamber intraocul lens,iol_anterior_chamber,high
0001313525-2020-00077,Injury,2020-03-25,2020-04-28,BAUSCH + LOMB,,,HQL,HQL,SOFPORT SQUARE EDGE IOL,INTRAOCULAR LENS,V2632,Post chmbr intraocular lens,iol_posterior_chamber,high
1000165971-2020-00370,Malfunction,2020-04-09,2020-04-27,SORIN GROUP ITALIA S.R.L. - CRM FACILITY,,,MRM,MRM,PLATINIUM,"DEFIBRILLATOR, IMPLANTABLE, DUAL-CHAMBER",C1882,"Aicd, other than sing/dual",crt_d,high
1000165971-2020-00372,Malfunction,2020-04-08,2020-04-28,SORIN GROUP ITALIA S.R.L. - CRM FACILITY,,,DTB,DTB,SMARTVIEW,PACEMAKER/ICD/CRT NON-IMPLANTED COMPONENTS,C1785,"Pmkr, dual, rate-resp",pacemaker_dual_chamber,high
1000165971-2020-00372,Malfunction,2020-04-08,2020-04-28,SORIN GROUP ITALIA S.R.L. - CRM FACILITY,,,DTB,DTB,SMARTVIEW,PACEMAKER/ICD/CRT NON-IMPLANTED COMPONENTS,C1786,"Pmkr, single, rate-resp",pacemaker_single_chamber,high
1000165971-2020-00373,Malfunction,2020-04-09,2020-04-28,MICROPORT CRM S.R.L.,,,LWP,LWP,ENO,"IMPLANTABLE PULSE GENERATOR, PACEMAKER (NON-CRT)",C1896,"Lead, aicd, non sing/dual",icd_lead_single_coil,medium
1000165971-2020-00374,Malfunction,2020-04-08,2020-04-28,SORIN GROUP ITALIA S.R.L. - CRM FACILITY,,,DTB,DTB,SMARTVIEW,PACEMAKER/ICD/CRT NON-IMPLANTED COMPONENTS,C1785,"Pmkr, dual, rate-resp",pacemaker_dual_chamber,high
1000165971-2020-00374,Malfunction,2020-04-08,2020-04-28,SORIN GROUP ITALIA S.R.L. - CRM FACILITY,,,DTB,DTB,SMARTVIEW,PACEMAKER/ICD/CRT NON-IMPLANTED COMPONENTS,C1786,"Pmkr, single, rate-resp",pacemaker_single_chamber,high
1000165971-2020-00376,Malfunction,2020-04-13,2020-04-28,SORIN GROUP ITALIA S.R.L. - CRM FACILITY,,,MRM,MRM,ORCHESTRA,"PROGRAMMER, PACEMAKER",C1882,"Aicd, other than sing/dual",crt_d,high
1000165971-2020-00378,Malfunction,2020-04-09,2020-04-28,SORIN GROUP ITALIA S.R.L. - CRM FACILITY,,,DXY,DXY,REPLY,"PULSE GENERATOR, PERMANENT, IMPLANTABLE",C1898,"Lead, pmkr, other than trans",pacemaker_lead,high
1000165971-2020-00378,Malfunction,2020-04-09,2020-04-28,SORIN GROUP ITALIA S.R.L. - CRM FACILITY,,,DXY,DXY,REPLY,"PULSE GENERATOR, PERMANENT, IMPLANTABLE",C1899,"Lead, pmkr/aicd combination",pacemaker_lead_combo,medium
1000165971-2020-00378,Malfunction,2020-04-09,2020-04-28,SORIN GROUP ITALIA S.R.L. - CRM FACILITY,,,DXY,DXY,REPLY,"PULSE GENERATOR, PERMANENT, IMPLANTABLE",C1900,"Lead, coronary venous",lead_coronary_venous,medium
1000165971-2020-00379,Malfunction,2020-04-09,2020-04-28,SORIN GROUP ITALIA S.R.L. - CRM FACILITY,,,DTB,DTB,SMARTVIEW HOTSPOT,PACEMAKER/ICD/CRT NON-IMPLANTED COMPONENTS,C1785,"Pmkr, dual, rate-resp",pacemaker_dual_chamber,high
1000165971-2020-00379,Malfunction,2020-04-09,2020-04-28,SORIN GROUP ITALIA S.R.L. - CRM FACILITY,,,DTB,DTB,SMARTVIEW HOTSPOT,PACEMAKER/ICD/CRT NON-IMPLANTED COMPONENTS,C1786,"Pmkr, single, rate-resp",pacemaker_single_chamber,high
1000165971-2020-00381,Injury,2019-12-24,2020-04-29,SORIN GROUP ITALIA S.R.L. - CRM FACILITY,,,DXY,DXY,REPLY,"PULSE GENERATOR, PERMANENT, IMPLANTABLE",C1898,"Lead, pmkr, other than trans",pacemaker_lead,high
