primary_di,product_code,brand_name,company_name,device_description,gmdn_pt_name,hcpcs_code,hcpcs_desc,device_category,match_method,confidence
00850031608412,FRO,Vitale STRONG,CELLERA LLC,"Silver Gelling Fiber Ropes .8""x12"", 1/pouch, 5/box, 10 boxes/case, 8 cases/overpack","Exudate-absorbent dressing, hydrophilic-gel, antimicrobial",A6196,Alginate dressing <=16 sq in,alginate_dressing,manual_seed,high
00850044458530,FRO,CALICO,Calico Medical Group LLC,"AG Silver Silicone Foam Dressing, Bordered, 4"" x 4""","Cavity-wound management dressing, antimicrobial",A6196,Alginate dressing <=16 sq in,alginate_dressing,manual_seed,high
00850047730275,FRO,Sentrex BioSponge Ultra,Bionova Medical Inc.,,"Cavity-wound management dressing, non-antimicrobial",A6196,Alginate dressing <=16 sq in,alginate_dressing,manual_seed,high
00854827008592,FRO,Hydrofera Blue,"HYDROFERA, LLC",Hydrofera Blue Classic Comfortcell Interface Antibacterial Foam Dressing,"Wound-nonadherent dressing, permeable, antimicrobial",A6196,Alginate dressing <=16 sq in,alginate_dressing,manual_seed,high
00857278000030,FRO,Silverlon Antimicrobial Wound Dressing,"ARGENTUM MEDICAL, LLC",Wound Contact Dressing 4in x 12in,"Wound-nonadherent dressing, permeable, antimicrobial",A6196,Alginate dressing <=16 sq in,alginate_dressing,manual_seed,high
00350770000275,KNT,ENFit Extension Set,"Avanos Medical, Inc.","60"" ENFit Ext Set Standard Purp",Nasoenteral tube,B4088,"Gastro/jejuno tube, low-pro",gastrostomy_low_profile,manual_seed,medium
00350770428567,KNT,AVANOS,"Avanos Medical, Inc.","MIC-KEY* Gastrostomy Feeding Tube Kit, SECUR-LOK* Extension Sets with ENFit® Connector",Gastrostomy button,B4088,"Gastro/jejuno tube, low-pro",gastrostomy_low_profile,manual_seed,medium
00350770956589,KNT,AVANOS,"Avanos Medical, Inc.",MIC-KEY* Gastric-Jejunal Feeding Tube Kit,Jejunostomy tube,B4088,"Gastro/jejuno tube, low-pro",gastrostomy_low_profile,manual_seed,medium
00827002225961,KNT,Passport,COOK INCORPORATED,Low Profile Gastrostomy Set,Gastrostomy button,B4088,"Gastro/jejuno tube, low-pro",gastrostomy_low_profile,manual_seed,medium
00842071107017,KNT,AMT Mini™ Extension Set,"APPLIED MEDICAL TECHNOLOGY, INC.","12"" Bolus Feeding Set with Single Port (Pouched)","Enteral tube extension, single-use",B4088,"Gastro/jejuno tube, low-pro",gastrostomy_low_profile,manual_seed,medium
10680651458022,KNT,Halyard,"Avanos Medical, Inc.",HALYARD* CORTRAK* 2 Nasogastric/Nasointestinal Feeding Tube with Electromagnetic Transmitting Stylet,Enteral tube tracking system transmitter stylet,B4088,"Gastro/jejuno tube, low-pro",gastrostomy_low_profile,manual_seed,medium
10680651460537,KNT,Halyard,"Avanos Medical, Inc.",HALYARD* CORTRAK* 2 Nasogastric/Nasointestinal Feeding Tube with ENFit® Connector and Electromagnetic Transmitting Stylet,Enteral tube tracking system transmitter stylet,B4088,"Gastro/jejuno tube, low-pro",gastrostomy_low_profile,manual_seed,medium
10816336022244,KNT,NCSTRAW,"NEOCHILD, LLC","Enteral Only Sampling Straw 5""","Syringe-loaded medication/vaccine injector, manual, professional",B4088,"Gastro/jejuno tube, low-pro",gastrostomy_low_profile,manual_seed,medium
00613994678157,LWS,Protecta™ DR,"MEDTRONIC, INC.",ICD D334DRG PROTECTA DR US MR BCP,Dual-chamber implantable defibrillator,C1721,"Aicd, dual chamber",icd_dual_chamber,manual_seed,high
00802526591907,LWS,EMBLEM™ S-ICD Electrode Delivery System,BOSTON SCIENTIFIC CORPORATION,Electrode Delivery System,Pacing/defibrillation lead tunneller,C1721,"Aicd, dual chamber",icd_dual_chamber,manual_seed,high
00613994678157,LWS,Protecta™ DR,"MEDTRONIC, INC.",ICD D334DRG PROTECTA DR US MR BCP,Dual-chamber implantable defibrillator,C1722,"Aicd, single chamber",icd_single_chamber,manual_seed,high
00802526591907,LWS,EMBLEM™ S-ICD Electrode Delivery System,BOSTON SCIENTIFIC CORPORATION,Electrode Delivery System,Pacing/defibrillation lead tunneller,C1722,"Aicd, single chamber",icd_single_chamber,manual_seed,high
00613994768186,DQY,Launcher,"MEDTRONIC, INC.",CATHETER LA8JR60SH LA 8F 100CM JR60,"Vascular guide-catheter, single-use",C1725,"Cath, translumin non-laser",atherectomy_catheter,manual_seed,high
00613994769626,DQY,Launcher,"MEDTRONIC, INC.",CATHETER LA8CHAMP30SH LA 8F 100CM CH30,"Vascular guide-catheter, single-use",C1725,"Cath, translumin non-laser",atherectomy_catheter,manual_seed,high
00613994788306,DQY,ZUMA®,"MEDTRONIC, INC.",CATHETER ZS8EBU375SH ZM 8F 100CM EB375,"Vascular guide-catheter, single-use",C1725,"Cath, translumin non-laser",atherectomy_catheter,manual_seed,high
00613994826640,DQY,SHERPA NX BALANCED,"MEDTRONIC, INC.",CATHETER SB6EBU45D SB 6F 90CM EB45,"Vascular guide-catheter, single-use",C1725,"Cath, translumin non-laser",atherectomy_catheter,manual_seed,high
00763000388010,DQY,Launcher,"MEDTRONIC, INC.",CATH LA6JL35Y LA 6F 118CM JL35,"Vascular guide-catheter, single-use",C1725,"Cath, translumin non-laser",atherectomy_catheter,manual_seed,high
00801902089472,DQY,ARROW,TELEFLEX INCORPORATED,"Single-Lumen Central Venous Catheterization Kit with Blue FlexTip(R) Catheter, Sharps Safety Features and Maximal Barrier Precautions",Centrally-inserted central venous catheter,C1725,"Cath, translumin non-laser",atherectomy_catheter,manual_seed,high
08714729350477,DQY,Mach1™,BOSTON SCIENTIFIC CORPORATION,Guide Catheter,"Vascular guide-catheter, single-use",C1725,"Cath, translumin non-laser",atherectomy_catheter,manual_seed,high
10721902458863,DQY,Launcher,"MEDTRONIC, INC.",CATHETER LA6LCBSHD LA 6F 90CM LCB,"Vascular guide-catheter, single-use",C1725,"Cath, translumin non-laser",atherectomy_catheter,manual_seed,high
20705032043707,DQY,VISTA BRITE TIP,CORDIS CORPORATION,GC 8F .088 100CM 2SH XBLAD3,"Vascular guide-catheter, single-use",C1725,"Cath, translumin non-laser",atherectomy_catheter,manual_seed,high
B090C140900,DQY,XO Cross 14,"ZIEN MEDICAL TECHNOLOGIES, INC.","The XO Cross device is a support catheter intended to guide and support a guidewire during access of the peripheral vasculature, allow for wire exchanges and pr","Vascular guide-catheter, single-use",C1725,"Cath, translumin non-laser",atherectomy_catheter,manual_seed,high
00816349011597,DQX,Excursion,BRIVANT LIMITED,,"Cardiac/peripheral vascular guidewire, single-use",C1755,"Catheter, intraspinal",catheter_guidewire,manual_seed,medium
00827002005518,DQX,Cook,COOK INCORPORATED,"Fixed Core Wire Guide Safe-T-J, Curved","Peripheral vascular guidewire, manual",C1755,"Catheter, intraspinal",catheter_guidewire,manual_seed,medium
00827002016330,DQX,Cook,COOK INCORPORATED,Double Flexible Tipped Wire Guide,"Peripheral vascular guidewire, manual",C1755,"Catheter, intraspinal",catheter_guidewire,manual_seed,medium
00827002083103,DQX,Cook,COOK INCORPORATED,"Fixed Core Wire Guide Safe-T-J, Curved","Peripheral vascular guidewire, manual",C1755,"Catheter, intraspinal",catheter_guidewire,manual_seed,medium
00886333003501,DQX,Nitinol Guidewire,"ARGON MEDICAL DEVICES, INC.","Nitinol Guidewire 6.0cm Radiopaque Tip .018"" x 40cm","Peripheral vascular guidewire, manual",C1755,"Catheter, intraspinal",catheter_guidewire,manual_seed,medium
00886333211531,DQX,Guidewire,"ARGON MEDICAL DEVICES, INC.",Guidewire 18/150/FC/PTFE/3J,"Cardiac/peripheral vascular guidewire, single-use",C1755,"Catheter, intraspinal",catheter_guidewire,manual_seed,medium
10195327004088,DQX,"Medline Industries, Inc.","MEDLINE INDUSTRIES, INC.",GUIDEWIRE 035X150 BENTSON,"General surgical procedure kit, non-medicated, single-use",C1755,"Catheter, intraspinal",catheter_guidewire,manual_seed,medium
H7878109351500,DQX,ADx,"ANGIODYNAMICS, INC.","GUIDEWIRE, PTFE 035 X 150CM FC 3MM J DE","Peripheral vascular guidewire, manual",C1755,"Catheter, intraspinal",catheter_guidewire,manual_seed,medium
00384401014461,DSY,Hemagard,INTERVASCULAR SAS,Hemagard Knitted Axillo-bifemoral Radially Supported Collagen Coated Vascular Graft,Synthetic vascular graft,C1768,"Graft, vascular",,gudid_description,low
00816349011597,DQX,Excursion,BRIVANT LIMITED,,"Cardiac/peripheral vascular guidewire, single-use",C1769,Guide wire,,gudid_description,medium
00827002005518,DQX,Cook,COOK INCORPORATED,"Fixed Core Wire Guide Safe-T-J, Curved","Peripheral vascular guidewire, manual",C1769,Guide wire,,gudid_description,medium
00827002016330,DQX,Cook,COOK INCORPORATED,Double Flexible Tipped Wire Guide,"Peripheral vascular guidewire, manual",C1769,Guide wire,,gudid_description,medium
00827002083103,DQX,Cook,COOK INCORPORATED,"Fixed Core Wire Guide Safe-T-J, Curved","Peripheral vascular guidewire, manual",C1769,Guide wire,,gudid_description,medium
00886333003501,DQX,Nitinol Guidewire,"ARGON MEDICAL DEVICES, INC.","Nitinol Guidewire 6.0cm Radiopaque Tip .018"" x 40cm","Peripheral vascular guidewire, manual",C1769,Guide wire,,gudid_description,medium
00886333211531,DQX,Guidewire,"ARGON MEDICAL DEVICES, INC.",Guidewire 18/150/FC/PTFE/3J,"Cardiac/peripheral vascular guidewire, single-use",C1769,Guide wire,,gudid_description,medium
10195327004088,DQX,"Medline Industries, Inc.","MEDLINE INDUSTRIES, INC.",GUIDEWIRE 035X150 BENTSON,"General surgical procedure kit, non-medicated, single-use",C1769,Guide wire,,gudid_description,medium
