report_number,date_of_event,event_type,manufacturer_name,facility_state,patient_outcomes,product_code,brand_name,hcpcs_code,hcpcs_desc,device_category,bridge_confidence,n_cms_hosp_in_state,n_cms_measures_in_state
1314492-2020-01421,,Malfunction,BAXTER HEALTHCARE CORPORATION,,,FRN,SPECTRUM INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
2016493-2020-00571,,Malfunction,CAREFUSION,,,FRN,ALARIS® PUMP MODULE,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
2016493-2020-00570,,Malfunction,CAREFUSION,,,FRN,ALARIS® PUMP MODULE,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
9612164-2020-01702,,Injury,MEDTRONIC IRELAND,,,DQY,RELIANT BALLOON,C1725,"Cath, translumin non-laser",atherectomy_catheter,high,0,0
2016493-2020-00570,,Malfunction,CAREFUSION,,,FRN,ALARIS® PUMP MODULE,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
3012307300-2020-03460,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,CADD SOLIS VIP PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
3012307300-2020-03460,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,CADD SOLIS VIP PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
3012307300-2020-03462,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,CADD SOLIS VIP PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
3012307300-2020-03462,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,CADD SOLIS VIP PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
3012307300-2020-03449,,Malfunction,ST PAUL,,,FRN,CADD SOLIS VIP PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
3012307300-2020-03449,,Malfunction,ST PAUL,,,FRN,CADD SOLIS VIP PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
2183502-2007-00397,,Malfunction,"SMITHS MEDICAL MD, INC.",,,FRN,MEDFUSION 3500 SYRINGE INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
2183502-2007-00397,,Malfunction,"SMITHS MEDICAL MD, INC.",,,FRN,MEDFUSION 3500 SYRINGE INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
2182207-2020-00166,,Malfunction,MEDTRONIC NEUROMODULATION,,,MHY,NEUROMODULATION DEVICE,L8679,Imp neurosti pls gn any type,neurostim_implant,medium,0,0
1416980-2020-02429,,Malfunction,BAXTER HEALTHCARE CORPORATION,,,FRN,INTERMATE,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
3012307300-2020-03458,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,CADD SOLIS VIP PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
3012307300-2020-03458,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,CADD SOLIS VIP PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
1416980-2020-02429,,Malfunction,BAXTER HEALTHCARE CORPORATION,,,FRN,INTERMATE,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
