"ENROLLMENT ID","ASSOCIATE ID","ORGANIZATION NAME","ASSOCIATE ID - OWNER","TYPE - OWNER","ROLE CODE - OWNER","ROLE TEXT - OWNER","ASSOCIATION DATE - OWNER","FIRST NAME - OWNER","MIDDLE NAME - OWNER","LAST NAME - OWNER","TITLE - OWNER","ORGANIZATION NAME - OWNER","DOING BUSINESS AS NAME - OWNER","ADDRESS LINE 1 - OWNER","ADDRESS LINE 2 - OWNER","CITY - OWNER","STATE - OWNER","ZIP CODE - OWNER","PERCENTAGE OWNERSHIP","CREATED FOR ACQUISITION - OWNER","CORPORATION - OWNER","LLC - OWNER","MEDICAL PROVIDER SUPPLIER - OWNER","MANAGEMENT SERVICES COMPANY - OWNER","MEDICAL STAFFING COMPANY - OWNER","HOLDING COMPANY - OWNER","INVESTMENT FIRM - OWNER","FINANCIAL INSTITUTION - OWNER","CONSULTING FIRM - OWNER","FOR PROFIT - OWNER","NON PROFIT - OWNER","PRIVATE EQUITY COMPANY - OWNER","REIT - OWNER","CHAIN HOME OFFICE - OWNER","OTHER TYPE - OWNER","OTHER TYPE TEXT - OWNER","OWNED BY ANOTHER ORG OR IND - OWNER"
O20020812000015,5193632180,SOUTHERN TENNESSEE MEDICAL CENTER LLC,0244144871,O,35,5% OR GREATER INDIRECT OWNERSHIP INTEREST,03/01/2025,,,,,LIFEPOINT HOLDINGS 2 LLC,,330 SEVEN SPRINGS WAY,,BRENTWOOD,TN,370275098,80.00,N,N,N,N,N,N,N,N,N,N,Y,N,,,,N,,N
O20020812000015,5193632180,SOUTHERN TENNESSEE MEDICAL CENTER LLC,0446239073,O,43,OPERATIONAL/MANAGERIAL CONTROL,01/01/2015,,,,,LIFEPOINT CORPORATE SERVICES GENERAL PARTNERSHIP,,330 SEVEN SPRINGS WAY,,BRENTWOOD,TN,370274536,,,N,N,N,N,N,N,N,N,N,N,N,,,,Y,GENERAL PARTNERSHIP,
O20020812000015,5193632180,SOUTHERN TENNESSEE MEDICAL CENTER LLC,2466598503,I,40,CORPORATE OFFICER,01/25/2022,WILLIAM,,HAUGH,PRESIDENT,,,,,,,,0.00,,,,,,,,,,,,,,,,,,
O20020812000015,5193632180,SOUTHERN TENNESSEE MEDICAL CENTER LLC,3072815117,O,35,5% OR GREATER INDIRECT OWNERSHIP INTEREST,11/16/2018,,,,,DSB ACQUISITION LLC,,9 W 57TH ST,FL 43,NEW YORK,NY,100192700,80.00,N,N,Y,N,N,N,N,Y,N,N,Y,N,,,,N,,
O20020812000015,5193632180,SOUTHERN TENNESSEE MEDICAL CENTER LLC,3274777941,I,43,OPERATIONAL/MANAGERIAL CONTROL,08/22/2022,ADAM,M,MARTIN,"FACILITY, CEO",,,,,,,,0.00,,,,,,,,,,,,,,,,,,
O20020812000015,5193632180,SOUTHERN TENNESSEE MEDICAL CENTER LLC,3678480480,O,35,5% OR GREATER INDIRECT OWNERSHIP INTEREST,12/31/2015,,,,,LIFEPOINT HOSPITALS HOLDINGS LLC,N/A,330 SEVEN SPRINGS WAY,,BRENTWOOD,TN,370275098,80.00,N,N,N,N,N,N,N,N,N,N,Y,N,,,,N,,
O20020812000015,5193632180,SOUTHERN TENNESSEE MEDICAL CENTER LLC,4587571393,O,35,5% OR GREATER INDIRECT OWNERSHIP INTEREST,01/01/1999,,,,,"HISTORIC LIFEPOINT HOSPITALS, LLC",N/A,330 SEVEN SPRINGS WAY,,BRENTWOOD,TN,370274536,80.00,,N,N,N,N,N,N,N,N,N,Y,N,,,,N,,
O20020812000015,5193632180,SOUTHERN TENNESSEE MEDICAL CENTER LLC,4587574488,I,40,CORPORATE OFFICER,06/24/2019,DANIEL,,DAVIS,CHIEF FINANCIAL OFFICER,,,,,,,,,,,,,,,,,,,,,,,,,,
O20020812000015,5193632180,SOUTHERN TENNESSEE MEDICAL CENTER LLC,4880725506,O,35,5% OR GREATER INDIRECT OWNERSHIP INTEREST,11/16/2018,,,,,LIFEPOINT HEALTH INC,,330 SEVEN SPRINGS WAY,,BRENTWOOD,TN,370275098,80.00,N,Y,N,N,N,N,N,N,N,N,Y,N,,,Y,N,,Y
O20020812000015,5193632180,SOUTHERN TENNESSEE MEDICAL CENTER LLC,5698800423,I,40,CORPORATE OFFICER,11/16/2009,MARCUS,B,POPPELL,SENIOR VICE PRESIDENT,,,,,,,,,,,,,,,,,,,,,,,,,,
O20020812000015,5193632180,SOUTHERN TENNESSEE MEDICAL CENTER LLC,5698800423,I,44,OTHER,11/16/2009,MARCUS,B,POPPELL,,,,,,,,,,,,,,,,,,,,,,,,,,,
O20020812000015,5193632180,SOUTHERN TENNESSEE MEDICAL CENTER LLC,5890188452,I,40,CORPORATE OFFICER,01/25/2022,CHARLOTTE,E,LAWRENCE,SECRETARY,,,,,,,,0.00,,,,,,,,,,,,,,,,,,
O20020812000015,5193632180,SOUTHERN TENNESSEE MEDICAL CENTER LLC,6305296492,O,34,5% OR GREATER DIRECT OWNERSHIP INTEREST,02/28/2025,,,,,"HIGHPOINT HEALTHCARE, LLC",,330 SEVEN SPRINGS WAY,,BRENTWOOD,TN,370275098,100.00,,N,Y,N,N,N,N,N,N,N,N,N,,,,N,,
O20020812000015,5193632180,SOUTHERN TENNESSEE MEDICAL CENTER LLC,6709877327,O,35,5% OR GREATER INDIRECT OWNERSHIP INTEREST,02/28/2025,,,,,SAINT THOMAS NETWORK,,4220 HARDING PIKE,,NASHVILLE,TN,372052005,20.00,,N,N,N,N,N,N,N,N,N,N,Y,,,,N,,
O20020812000015,5193632180,SOUTHERN TENNESSEE MEDICAL CENTER LLC,7719989516,O,35,5% OR GREATER INDIRECT OWNERSHIP INTEREST,02/28/2025,,,,,SAINT THOMAS HEALTH,RIVER PARK COMMUNITY PHARMACY,102 WOODMONT BLVD,STE 800,NASHVILLE,TN,372052221,20.00,,N,N,N,N,N,N,N,N,N,N,Y,,,,N,,
